dataset	tissue	age	platform	capture	rep1	rep2
SIDMBrAOC0101	Brain	Adult	ont	post-capture	1	1
SIDMBrAOP0101	Brain	Adult	ont	pre-capture	1	1
SIDMBrAPC0101	Brain	Adult	pacBioSII	post-capture	1	1
SIDMBrAPP0101	Brain	Adult	pacBioSII	pre-capture	1	1
SIDMBrEOC0101	Brain	Embryo	ont	post-capture	1	1
SIDMBrEOP0101	Brain	Embryo	ont	pre-capture	1	1
SIDMBrEPC0101	Brain	Embryo	pacBioSII	post-capture	1	1
SIDMBrEPP0101	Brain	Embryo	pacBioSII	pre-capture	1	1
SIDMHeAOC0101	Heart	Adult	ont	post-capture	1	1
SIDMHeAOP0101	Heart	Adult	ont	pre-capture	1	1
SIDMHeAPC0101	Heart	Adult	pacBioSII	post-capture	1	1
SIDMHeAPP0101	Heart	Adult	pacBioSII	pre-capture	1	1
SIDMHeEOC0101	Heart	Embryo	ont	post-capture	1	1
SIDMHeEOP0101	Heart	Embryo	ont	pre-capture	1	1
SIDMHeEPC0101	Heart	Embryo	pacBioSII	post-capture	1	1
SIDMHeEPP0101	Heart	Embryo	pacBioSII	pre-capture	1	1
SIDMLiAOC0101	Liver	Adult	ont	post-capture	1	1
SIDMLiAOP0101	Liver	Adult	ont	pre-capture	1	1
SIDMLiAPC0101	Liver	Adult	pacBioSII	post-capture	1	1
SIDMLiAPP0101	Liver	Adult	pacBioSII	pre-capture	1	1
SIDMLiEOC0101	Liver	Embryo	ont	post-capture	1	1
SIDMLiEOP0101	Liver	Embryo	ont	pre-capture	1	1
SIDMLiEPC0101	Liver	Embryo	pacBioSII	post-capture	1	1
SIDMLiEPP0101	Liver	Embryo	pacBioSII	pre-capture	1	1
SIDMTeAOC0101	Testis	Adult	ont	post-capture	1	1
SIDMTeAOP0101	Testis	Adult	ont	pre-capture	1	1
SIDMTeAPC0101	Testis	Adult	pacBioSII	post-capture	1	1
SIDMTeAPP0101	Testis	Adult	pacBioSII	pre-capture	1	1
SIDMTpAOC0101	TpoolA	Adult	ont	post-capture	1	1
SIDMTpAOP0101	TpoolA	Adult	ont	pre-capture	1	1
SIDMTpAPC0101	TpoolA	Adult	pacBioSII	post-capture	1	1
SIDMTpAPP0101	TpoolA	Adult	pacBioSII	pre-capture	1	1
SIDMWbAOC0101	WBlood	Adult	ont	post-capture	1	1
SIDMWbAOP0101	WBlood	Adult	ont	pre-capture	1	1
SIDMWbAPC0101	WBlood	Adult	pacBioSII	post-capture	1	1
SIDMWbAPP0101	WBlood	Adult	pacBioSII	pre-capture	1	1
SIDMWbEOC0101	ESC	Embryo	ont	post-capture	1	1
SIDMWbEOP0101	ESC	Embryo	ont	pre-capture	1	1
SIDMWbEPC0101	ESC	Embryo	pacBioSII	post-capture	1	1
SIDMWbEPP0101	ESC	Embryo	pacBioSII	pre-capture	1	1